Position,Code,Grade,Avg.Salary,Count
Information Technology Expert,550,32,146925.34,9
Accountant/Auditor II,210,21,82742.44,2
Veterinary Assistant,206513,15,45925.44,2
Police Aide,3506,15,58628.63,15
ERP Functional Business Analyst,100546,30,133797.25,3
Alcohol Beverage Purchasing and Account Specialist,8019,18,68834.54,7
Senior Engineer Technician,4031,22,80771.26,2
Administrative Specialist III,150,23,91031.27,52
Forensic Scientist,3519,25,95330.74,12
Manager I,110,M1,182281.86,21
Community Services Aide II,622,16,59017.02,4
Income Assistance Program Specialist III,2015,22,81932.15,29
Public Safety Emergency Communications Manager,103091,25,109761,4
Senior Librarian,1137,25,92980.8,10
Truck Driver/Warehouse Worker,8112,15,53829.14,38
Transportation Systems Technician III,4122,20,81307.38,3
Public Service Worker IV,5233,14,47432.32,3
Performance Management and Data Analyst III,116,28,95783.59,3
Public Safety Instructor,3516,20,85347.94,3
Correctional Team Leader - Captain,3233,C2,118414,5
Equipment Maintenance Crew Chief,5007,22,88096.9,20
Engineer Technician II,4035,18,66054.39,5
Telecommunications Technician,3426,18,78902,1
Emergency Management Specialist I,200700,24,82270.14,2
Safety and Training Instructor,104465,19,74225.62,3
Management and Budget Specialist II,426,22,89716.68,2
Deputy Sheriff Sergeant,3528,D1,102047.83,29
Senior Architect,4406,28,126584,5
Manager II,111,M2,160257.48,115
Laboratory Assistant,2412,14,57495.34,2
Police Officer Candidate,3086,P1,52904.25,32
Welder,5017,18,78902,3
Warehouse Assistant Supervisor,8109,20,82908.58,5
Assistant County Attorney III,6106,32,138905.08,31
Self-Contained Breathing Apparatus Technician,5020,14,61638.79,1
Permit Technician III,2260,19,82239.75,8
Background Screening Specialist,3523,21,90085.99,10
Police District Station Assistant,3500,19,82691,6
Security Officer II,3534,16,71852,1
Highway Inspector I,4051,19,70944.02,6
Deputy Sheriff Candidate,3532,G1,50990,6
Public Information Officer II,810,25,101327.14,6
Public Safety Communications Specialist III,3094,19,69267.86,7
Property Manager II,5312,24,104680,9
Paralegal Specialist,6115,23,86822.92,6
Information Technology Technician III,555,19,78401.17,11
Senior Supply Technician,9234,17,69617.43,11
Librarian I,1152,21,78141.47,23
Legislative Attorney,709,32,126370.51,2
Permitting and Code Enforcement Inspector III,2215,23,95620.38,51
Transportation Systems Technical Center Supervisor,4115,23,99852,2
Librarian II,1151,24,87630.9,35
Plumber I,5063,17,67066.9,2
Animal Services Officer III,202273,20,68801.29,8
Library Assistant Supervisor,1163,20,78992.15,19
Psychologist Supervisor,2500,31,145122.13,1
Gain Sharing Coordinator,127,26,115099,1
Property Manager I,5311,21,90848,1
Therapist II,2754,24,89840.84,85
Correctional Specialist V,3246,26,113647.77,3
Licensed Practical Nurse - Correctional Facility,2308,18,78297.07,4
Behavioral Health Associate Counselor (Alcohol & Drug),2760,20,86669,8
Equipment Operator II,5112,15,63093.7,24
Legal Secretary II,6113,16,67005.97,5
Resident Supervisor III,3252,22,93887.4,7
Community Health Clinic Technician,2709,15,55461.12,1
Deputy Sheriff Lieutenant,3527,D2,114357.58,12
Recreation Specialist,1015,21,79172.47,64
Fiscal and Policy Analyst III,411,28,120241.74,12
Code Enforcement Inspector III,2224,20,84940.5,4
Administrative Specialist I,152,18,73529.98,28
Correctional Dietary Officer II,203229,18,67898.83,14
Library Assistant II,1165,16,62066.37,14
Library Associate,1191,18,61301.28,8
Office Services Coordinator,9273,16,66270.43,210
Police Sergeant,3067,A1,106881.72,157
Transportation Systems Technician II,4118,18,78902,3
Income Assistance Program Specialist II,2012,20,73668.96,129
OIG Investigative Analyst III,723,28,118519.82,3
Legislative Senior Aide III,713,26,86452.38,3
Engineer II,4023,22,88899.24,2
Inspection and Enforcement Field Supervisor,2238,23,87437.65,2
Correctional Health Nurse II,3266,24,91011.78,18
Highway Construction Field Supervisor,4030,24,104609.05,5
Correctional Shift Commander - Lieutenant,3235,C1,106803.86,21
Transit Services Supervisor,4456,21,89926.34,3
Senior Retirement Analyst,100202,26,113681.54,1
Management and Budget Specialist III,424,25,107191.11,25
Revenue Counter Supervisor,217,15,67893.7,1
Work Force Leader II,5212,18,72440.3,26
District Supervisor,5205,24,96095.29,5
Program Specialist II,836,21,83144.25,115
Insurance Fund Manager,206,26,115099,1
Transit Coordinator,4462,17,67738.27,34
Animal Care Attendant,203511,14,46312.18,11
Abandoned Vehicle Code Enforcement Specialist,3503,16,58358.79,4
Dental Assistant,2110,14,62539.74,5
Investigator III,643,25,103184.89,23
Public Service Craftsworker II,205228,17,73851.7,3
Telecommunications Specialist,3410,20,86446.73,5
Information and Referral Aide II,200880,16,48339.71,2
Building Services Inspector,5307,12,54934.79,3
Insurance Risk Analyst,284,24,104680,1
Mail Clerk,5190,11,52205.21,7
Police Lieutenant,3065,A2,138968.3,37
HVAC Mechanic I,5083,18,73056.7,9
Major Maintenance Project Manager,5026,22,95236,9
Architect III,4407,25,99871.66,1
Correctional Dietary Supervisor,3227,22,95236,2
Occupational Safety and Health Specialist,282,25,109761,1
Accountant/Auditor III,211,23,97574.06,26
Senior ERP Functional Business Analyst,100547,32,143615.33,2
Intergovernmental Relations Legislative Analyst,730,28,123114.87,3
Human Resources Specialist III,121,25,106900.57,18
Highway Inspector II,4050,22,86605.72,10
Mechanic Instructor,5008,21,89378.87,3
Customer Service Representative Supervisor,100874,21,62428.38,1
Public Health Dentist,120003,MD2,153375,1
Performance Management and Data Analyst II,117,25,78972.8,1
Transportation Contract Compliance Inspector II,4071,19,67373.6,4
Urban District Public Service Aide,630,10,47060.51,19
Accountant/Auditor I,212,18,67827.56,2
Public Service Worker III,5230,12,52560.73,6
Imaging Operator II,9008,11,46236.41,9
Warehouse Equipment Operator,8120,13,55317.9,15
Permitting and Code Enforcement Inspector II,2216,21,84786.86,3
Liquor Store Assistant Manager,8012,18,66899.31,26
Psychologist,2501,29,132277.69,3
Health Educator,2711,21,60330.65,1
Deputy Sheriff Captain,3525,D3,133622.17,6
Child Welfare Caseworker,638,23,99852,2
Senior Investment Officer,204,39,171350.49,4
Public Administration Associate,100130,16,51299.52,3
Locksmith,5047,18,74583.27,2
Transit Information Systems Technician,4458,19,77783.45,4
Public Safety Emergency Communications Supervisor,103092,23,85704.88,16
Refuse Disposal Cashier,4321,13,58770.52,6
Community Outreach Manager,192,28,113240.32,8
Animal Care Attendant Supervisor,103510,19,61589.44,2
Senior Engineer,4021,27,120140.34,15
Mechanic Technician II,5009,19,80945.85,95
Customer Service Representative Leader,100875,18,78902,1
Deputy Clerk of the County Council,714,23,99852,2
Social Worker II,2807,23,75707.7,62
Public Service Craftsworker I,205229,15,61686.76,35
Customer Service Representative I,879,13,50109.58,17
Work Force Leader IV,5210,21,85688.31,9
Community Services Aide I,623,13,60950.32,2
Public Service Worker II,5231,9,43945.42,21
Information Technology Specialist III,552,26,107979.6,43
Motor Pool Attendant,5013,9,50770.38,8
Liquor Store Clerk II,8016,14,54174.23,48
Fire/Rescue Battalion Chief,3165,B3,135022.66,25
Driver/Clerk,1168,12,48522.53,6
Resident Supervisor II,3250,20,71065.52,11
Medical Doctor Psychiatrist III,132005,MD3,203593,2
Supervisor Parking Meter Unit,4522,18,78492.58,1
Senior Pool Manager,1005,18,49118.48,4
Police Officer III,3080,P4,85373.13,811
Program Specialist I,837,18,72509.52,55
Plumber Supervisor,5061,24,97318.92,1
Investment Portfolio Manager,205,29,132759,1
Survey Crew Leader,4060,19,61447.87,1
Capital Projects Manager,4410,28,125408.88,22
Principal Administrative Aide,9274,13,55330.52,101
Security Officer III (Sergeant),3538,21,81694.04,5
Executive Administrative Aide,9272,17,72391.56,26
Social Worker III,2806,24,91567.89,92
Epidemiologist II,2712,26,115099,1
Dental Hygienist,2105,21,90848,2
Customer Service Representative II,878,16,60075.63,28
Master Firefighter/Rescuer,3169,F4,91340.08,210
Mail Services Supervisor,5189,17,65107.75,1
Depot Supply Coordinator,9233,15,65826.45,7
HVAC Mechanic II,5082,19,82691,5
Forensics Specialist I,3521,20,59734.34,6
Information Technology Project Manager,549,40,182075,1
Transit Marketing Specialist,4479,21,84613.46,3
Shift Supervisor Transportation Management Center,4018,23,99852,1
Enviromental Compliance Supervisor,2237,26,115099,2
Office Clerk,9277,5,41633.64,8
Electrician II,5072,19,82476.2,5
Security Officer IV (Lieutenant),3537,23,79937.39,4
Engineer III,4022,25,104773.95,20
ERP Change Management Specialist,100542,27,120703,1
Information Technology Technician I,557,14,43178.13,1
Energy Management Systems Technician,5325,20,86669,2
Revenue Counter,4534,11,45331.49,3
Equipment Operator I,5113,14,52642.5,96
Correctional Specialist II,3248,22,84390.31,13
Public Relations Specialist,812,24,104680,1
Land Survey Supervisor,4059,24,104680,1
Work Force Leader III,5211,19,58960.47,1
Equipment Operator III,5111,16,69911.75,10
Equipment Services Coordinator,5005,24,104680,4
Recreation Supervisor,1012,23,95445.46,14
Fiscal Assistant,215,16,66524.11,36
Public Health Advisor,2718,21,84548.93,5
Program Manager I,834,23,92106.3,85
Program Aide,663,14,53710.32,18
Registered Veterinary Technician,206512,19,58568.92,2
Safety and Training Supervisor,104463,21,79446.52,2
"Therapist, Supervisory",2753,26,110570.71,20
Community Services Aide III,621,18,69090.59,78
Transportation Contract Compliance Inspector I,4070,17,62244.15,2
Government Records Supervisor,109270,20,70682.91,1
Supervisory Supply Technician,9232,19,79363.74,4
Library Assistant I,1166,13,59292.78,29
Civil Works Designer,4033,20,86669,1
Communications Technician II,3422,20,86669,4
Recreation Coordinator,1018,18,54021.19,13
Accountant/Auditor Supervisor,208,26,112381.66,9
Fire/Rescue Division Chief,3150,B6,168617,3
Warehouse Worker,8118,9,46447.5,2
Library Technician,1160,13,60184.73,3
Master Police Officer,3074,P5,96668.56,71
Police Services Assistant,3501,16,68375.21,33
Printing Technician III,5175,16,68103.36,5
Environmental Health Specialist III,2234,24,93019.85,22
Transit Aide I,4468,8,42216.82,1
Chief Veterinarian,106515,38,162707.55,1
Supervisory Social Worker,2805,26,107157.49,31
Urban District Public Service Team Supervisor,629,16,61605.59,4
Engineer I,4024,19,80489.13,1
Transit Communications Leader,4461,18,72772.27,11
Laboratory Supervisor,103550,27,115389.55,2
Mail Clerk Leader,5191,14,56873.98,1
Human Services Specialist,2009,23,99852,2
Supply Technician II,9236,12,63705.59,3
Fire/Rescue Captain,3167,B2,117297.94,142
Income Assistance Program Specialist I,2013,17,51013.58,3
Photographic/Digital Image Technician,3512,18,65863.93,1
Client Assistance Specialist,2814,20,73767.79,40
Traffic Management Technician II,4111,19,58127.5,4
Manager Taxicab Regulation and Special Transit Services,4454,26,88701.63,1
Arborist,5206,23,91215.24,5
Senior Business Development Specialist,4430,27,120703,1
Correctional Records Coordinator,3258,17,67541.35,8
Transit Bus Operator,4466,15,54681.48,623
Fire/Rescue Lieutenant,3168,B1,100748.62,121
Radiologic Technologist,202420,17,75290,2
Work Force Leader I,5213,13,58004.32,2
Management and Budget Specialist I,428,18,78902,1
Transit Operations Supervisor,4457,21,89015.11,23
Automotive Parts Technician II,9238,16,68294.84,19
Emergency Management Specialist II,200701,26,95417.36,8
Forensics Specialist II,3520,21,74317.89,2
Library Associate II,1190,21,90703.19,7
"Animal Services Officer, Lead",202272,21,68185.13,2
Correctional Officer III (Corporal),3237,C5,75753.16,142
Emergency Vehicle Maintenance Crew Chief,205001,23,99852,4
Visual Information Specialist,4445,21,86650.02,6
School Health Room Technician I,202702,15,68575,1
Senior Permitting Services Specialist,2201,26,111867.94,39
Lead Revenue Counter,4533,13,62488,1
Latent Print Examiner,3505,20,75570.31,4
Planning Specialist III,4403,23,92327.03,24
Alcohol and Tobacco Enforcement Specialist II,2220,21,87290.86,7
Enterprise Technology Expert,100548,34,159475,3
Fire/Rescue Assistant Chief,3163,B4,148712,12
Messenger-Clerk,9252,7,39366.25,1
Nurse Manager,2304,25,107867.36,15
Construction Representative III,3650,23,96865.33,18
Real Estate Specialist III,328,25,109079.84,4
Security Officer I,3535,15,62162.86,22
EMS Educator,3149,25,105535.06,1
"Accountant/Auditor, Lead/Senior",209,25,109049.88,12
Truck Driver Helper/Warehouse Worker,8117,10,44057.14,27
Program Manager II,832,25,104143.12,175
Public Safety Reporting Aide I,3502,16,62423.72,6
Public Safety Reporting Aide II,3504,18,67443.51,3
Autobody Repairer,5015,17,71414.74,4
Community Health Nurse II,2306,24,95906.25,148
Traffic Enforcement Field Service Technician II,203513,15,58162.06,8
Crime Analyst,3517,20,74728.55,10
Nurse Practitioner,2309,26,99504.07,3
Information Technology Specialist II,553,23,95459.93,7
Building Services Worker II,5308,8,47941.5,20
Medical Doctor Psychiatrist IV,142005,MD4,223953,1
Community Health Clinic Technician Leader,2708,17,75290,1
Administrative Specialist II,151,21,85087.28,70
Management Services Supervisor,4477,27,113525.42,2
Audiovisual Production Specialist,4443,23,98979.87,5
Senior/Lead Fiscal and Policy Analyst,410,30,134788.26,6
Chief Deputy Sheriff (Colonel),3524,D4,159332,1
Printer Apprentice,5179,9,34147.77,1
Housing Code Inspector III,2253,23,99557.11,5
Parking Meter Mechanic,4523,15,62658.63,4
Electrician I,5073,18,75920.53,4
Senior Information Technology Specialist,551,28,124616.6,85
Correctional Specialist III,3245,24,88444.25,25
Investigator II,644,23,85360.37,1
Emergency Vehicle Mechanic Technician II,205002,20,72591.19,10
Senior Executive Administrative Aide,9268,18,75733.68,14
Liquor Store Manager,8009,21,82119.61,26
Transit Analyst,4460,16,59083.09,4
Plumber II,5062,19,81909.6,4
Senior Public Safety Emergency Communications Specialist,203093,21,75171.88,2
Senior Water Quality Specialist,2230,26,94540.02,1
Information Technology Supervisor,558,30,138517.48,5
Print Shop Foreman,5172,20,73088.55,1
Senior Planning Specialist,4402,25,105694.47,21
Facilities and Equipment Maintenance Coordinator,5027,20,86669,2
Legislative Analyst III,715,28,118920.54,5
Urban District Public Service and Maintenance Team Supervisor,628,17,75290,3
Executive Administrative Aide to Chief Administrative Officer,9271,20,86669,1
Legislative Services Coordinator,722,17,72390.31,6
Firefighter/Rescuer III,3170,F3,74144.93,409
Income Assistance Program Supervisor,2011,24,98148.54,18
Forensic Firearms/Toolmark Examiner,3518,24,104680,2
Information Technology Specialist I,554,20,76046.64,4
Imaging Operator Leader,109009,14,59682.11,1
Water Quality Specialist II,2231,22,91574.07,5
Supply Technician III,9235,13,55954.17,3
Forest Conservation Coordinator,102204,25,109761,1
Supply Technician I,9237,10,39379.32,1
Correctional Supervisor - Sergeant,3234,C6,94434.43,37
Police Captain,3063,A3,156780.64,21
Deputy Sheriff III,3529,G4,83677.86,66
Manager III,112,M3,132146.03,252
Correctional Specialist IV,3247,25,105117.9,4